,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,EPS*ROE,Return_Rate,ROE_20,ROE_19,roe_past_2,roe_past_3,영업이익 - 20E,그룹,Est.시가총액(억),Est / 현재 (%)
0,253840,수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,5,4291.0,31400.0,31578000.0,10.06,163.02,-48.09,-254.51,-66.48,2795.0,20,55900.0,1203.0
1,140290,청광건설,토목 건설업,"관도급, BTL, 자체사업",0,92.0,880.0,280000.0,3.18,10.41,6.45,0.0,0.0,119.0,10,1190.0,1193.0
2,000150,두산,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",0,7584.0,45900.0,0.0,0.0,-15.84,23.52,-5.21,1.67,7184.0,10,71840.0,847.0000000000001
3,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",0,19827.0,26450.0,3454000.0,1.31,7.4,2.09,10.73,9.06,14547.0,10,145470.0,634.0
4,014790,한라,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",0,1473.0,3790.0,1238000.0,3.27,23.25,0.97,-3.82,12.8,955.0,10,9550.0,548.0
5,035890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",1,2413.0,1165.0,441000.0,3.79,24.35,18.62,13.22,13.36,1494.0,10,14940.0,519.0
6,012630,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",5,6512.0,10900.0,4451000.0,4.08,11.67,12.58,38.82,14.36,4020.0,10,40200.0,517.0
7,067310,하나마이크론,반도체 제조업,"반도체패키징,USB플래쉬드라이브",1,2074.0,6830.0,1152000.0,1.69,12.07,-1.7,1.05,5.09,590.0,20,11800.0,469.00000000000006
8,017940,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",0,2645.0,38550.0,10700000.0,2.78,6.43,-3.63,6.47,7.39,1475.0,10,14750.0,458.0
9,001040,CJ,기타 금융업,지주회사,0,26026.0,89200.0,11290000.0,1.27,8.64,6.24,6.91,12.1,14097.0,10,140970.0,442.0
10,023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1,9220.0,20550.0,4533000.0,2.21,15.22,14.61,9.78,11.53,4792.0,10,47920.0,420.0
11,036460,한국가스공사,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",0,24417.0,26450.0,2915000.0,1.1,3.36,0.48,6.36,-14.03,12579.0,10,125790.0,415.00000000000006
