,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,Average_ROE_20(E),ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율
0,175330,JB금융지주,기타 금융업,금융지주 회사,0,8657.0,4395.0,18469.0,18932.0,20570.0,4.2,4.68,9.09,10.36,8.69,7.86,9.39,1,4.79,4658.0,4849.0,4168.0,3480.0,10,5.38
1,012630,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",4,6811.0,11400.0,43642.0,46860.0,58236.0,3.83,5.11,11.67,12.58,38.82,14.36,21.62,0,9.09,4020.0,1281.0,954.0,856.0,10,5.9
2,084010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",5,1595.0,6470.0,22270.0,22985.0,25511.0,3.44,3.94,9.44,6.73,-3.83,6.86,3.23,0,1.24,600.0,420.0,46.0,471.0,10,3.76
3,001500,현대차증권,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",0,3051.0,10400.0,34985.0,35941.0,39317.0,3.36,3.78,9.2,7.93,6.06,6.04,6.99,1,2.17,1268.0,984.0,681.0,668.0,10,4.16
4,014790,한라,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",0,1361.0,3500.0,9935.0,12226.0,20323.0,2.84,5.81,23.25,0.97,-3.82,12.8,1.35,0,0.26,955.0,677.0,599.0,1495.0,10,7.02
5,001120,LG상사,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",0,6085.0,15700.0,44633.0,54361.0,88750.0,2.84,5.65,22.07,2.48,-6.06,4.93,0.04,0,0.01,1559.0,1348.0,1657.0,2123.0,10,2.56
6,023410,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘,0,3096.0,4005.0,11055.0,11239.0,11892.0,2.76,2.97,8.68,2.61,3.15,12.44,4.43,0,1.44,1415.0,1280.0,1309.0,1117.0,10,4.57
7,001450,현대해상,보험업,손해보험(자동차보험),0,20383.0,22800.0,57887.0,58710.0,61619.0,2.54,2.7,8.56,6.23,10.33,15.61,9.16,0,2.59,0.0,3953.0,5335.0,6308.0,10,0.0
8,035890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",0,2361.0,1140.0,2805.0,3482.0,5874.0,2.46,5.15,24.3,18.62,13.22,13.36,15.94,0,3.3,1466.0,1182.0,831.0,881.0,10,6.21
9,023890,한국아트라스비엑스,일차전지 및 축전지 제조업,축전지,5,4511.0,49300.0,118186.0,134509.0,192209.0,2.4,3.9,15.71,15.6,17.32,17.6,16.51,0,2.94,740.0,646.0,643.0,609.0,10,1.64
10,120110,코오롱인더,화학섬유 제조업,"산업자재, 화학, 필름",0,9011.0,33400.0,80312.0,84528.0,99434.0,2.4,2.98,10.5,1.58,3.04,6.49,2.89,0,0.74,1427.0,1729.0,1669.0,1980.0,10,1.58
11,034830,한국토지신탁,신탁업 및 집합투자업,부동산신탁 등,5,4722.0,1870.0,4288.0,4637.0,5871.0,2.29,3.14,12.11,12.72,21.75,25.66,17.89,0,4.35,1173.0,1193.0,1846.0,1711.0,10,2.48
12,018670,SK가스,기타 전문 도매업,"액화석유가스,가스기기 판매,수입,저장",1,8750.0,94800.0,214342.0,235769.0,311512.0,2.26,3.29,13.22,9.85,3.9,7.08,7.41,0,1.79,2072.0,1896.0,1030.0,977.0,10,2.37
13,078020,이베스트투자증권,금융 지원 서비스업,유가증권위탁매매,0,3096.0,5580.0,12543.0,14312.0,20563.0,2.25,3.69,15.91,11.23,8.58,10.19,10.17,0,2.33,1046.0,705.0,473.0,511.0,10,3.38
14,005830,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",0,32179.0,45450.0,102403.0,104910.0,113770.0,2.25,2.5,9.06,6.84,10.95,15.03,9.58,0,2.25,6414.0,5116.0,7207.0,8679.0,10,1.99
15,900310,컬러레이,기타 금융업,화장품용 진주광택안료,5,896.0,1660.0,3687.0,4256.0,6268.0,2.22,3.78,16.87,16.67,21.94,31.54,20.91,0,4.68,316.0,276.0,279.0,275.0,10,3.53
16,227840,현대코퍼레이션홀딩스,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",5,924.0,10150.0,22152.0,22985.0,25929.0,2.18,2.55,9.72,5.93,2.58,6.62,4.93,0,1.25,127.0,93.0,79.0,87.0,10,1.37
17,006360,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",0,20385.0,25450.0,54378.0,57636.0,69152.0,2.14,2.72,10.9,11.79,17.34,-5.22,10.81,0,2.69,7250.0,7673.0,10645.0,3187.0,10,3.56
18,213500,한솔제지,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",0,3189.0,13400.0,28466.0,31200.0,40864.0,2.12,3.05,12.98,6.92,7.49,8.81,7.43,0,1.74,1340.0,1053.0,1207.0,637.0,10,4.2
19,047040,대우건설,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",0,12469.0,3000.0,6350.0,6625.0,7599.0,2.12,2.53,10.02,8.8,13.2,12.12,10.82,0,2.82,4387.0,3641.0,6287.0,4290.0,10,3.52
20,025000,KPX케미칼,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",5,2258.0,46650.0,98279.0,98427.0,98952.0,2.11,2.12,7.96,9.04,2.54,6.19,6.4,0,1.69,444.0,484.0,239.0,300.0,15,2.95
21,000210,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",3,32642.0,93800.0,193075.0,210008.0,269865.0,2.06,2.88,12.48,11.74,12.37,10.14,11.68,0,2.43,12028.0,11301.0,8454.0,5459.0,10,3.68
22,011760,현대종합상사,상품 종합 도매업,"자동차,철강,기계,선박,플랜트,컴퓨터,전자제품 수출,수출입대행/자원(탄광,유전) 개발",0,1845.0,13950.0,28761.0,29383.0,31583.0,2.06,2.26,8.92,5.07,-2.64,6.29,2.7,0,0.65,346.0,435.0,505.0,340.0,10,1.88
23,008560,메리츠증권,금융 지원 서비스업,"유가증권의 위탁매매,자기매매,인수공모주선업무",0,22239.0,3290.0,6743.0,7156.0,8619.0,2.05,2.62,10.98,15.06,13.0,13.79,14.16,0,3.11,6575.0,6799.0,5323.0,4436.0,10,2.96
24,089470,HDC현대EP,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",5,1601.0,5020.0,10125.0,10362.0,11202.0,2.02,2.23,9.01,4.66,3.02,11.39,5.24,0,1.26,378.0,341.0,144.0,415.0,10,2.36
25,005960,동부건설,토목 건설업,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",4,2531.0,11150.0,21768.0,24219.0,32881.0,1.95,2.95,14.01,15.29,22.21,34.56,20.81,0,4.52,668.0,555.0,318.0,256.0,10,2.64
26,000060,메리츠화재,보험업,"손해보험(화재,해상,운송보험)",0,14381.0,12650.0,23983.0,25555.0,31112.0,1.9,2.46,11.21,12.76,11.55,22.54,13.99,0,3.05,0.0,3528.0,3127.0,5136.0,10,0.0
27,023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1,9130.0,20350.0,37376.0,42271.0,59574.0,1.84,2.93,15.22,14.61,9.78,11.53,12.49,0,2.33,4792.0,5075.0,3241.0,3302.0,10,5.25
28,014830,유니드,기초 화학물질 제조업,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",5,4227.0,47550.0,85957.0,89373.0,101447.0,1.81,2.13,9.83,9.87,5.52,6.19,7.81,0,1.66,879.0,848.0,801.0,671.0,10,2.08
29,036190,금화피에스시,전기 및 통신 공사업,"설비,철물,전기,강구조물",5,1593.0,26550.0,47734.0,53226.0,72641.0,1.8,2.74,14.17,12.04,19.69,11.76,14.54,0,2.77,403.0,343.0,414.0,339.0,10,2.53
