,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Average_ROE_Price,Return_rate(Ave_ROE)
141,020000,한섬,봉제의복 제조업,"여성의류,금속 액세서리,신발,가방,선글라스 제조,판매",6,9015.0,36600.0,47935.0,48193.0,49111.0,1.31,1.34,8.09,8.37,7.56,5.96,1,42569.0,1.16
142,067900,와이엔텍,폐기물 처리업,"사업장폐기물중간및최종처리,전문건설,골재제조",6,2229.0,12250.0,9431.0,10960.0,16391.0,0.77,1.34,17.35,14.66,8.06,11.3,0,11240.0,0.92
143,011210,현대위아,자동차 신품 부품 제조업,"자동차부품, 공작기계 등",4,9709.0,35700.0,100814.0,89036.0,47213.0,2.82,1.32,3.18,1.8,-1.8,-1.97,1,-426.0,-0.01
144,001740,SK네트웍스,기타 전문 도매업,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업",0,12161.0,4900.0,9128.0,8545.0,6477.0,1.86,1.32,5.13,-5.85,0.31,1.39,0,-2951.0,-0.6
145,010780,아이에스동서,"내화, 비내화 요업제품 제조업","타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",3,11569.0,37450.0,39113.0,41408.0,49558.0,1.04,1.32,10.77,6.1,23.01,19.87,0,63697.0,1.7
146,013030,하이록코리아,1차 철강 제조업,관이음쇠,6,1763.0,12950.0,23255.0,21871.0,16959.0,1.8,1.31,5.3,3.81,3.48,7.42,0,13765.0,1.06
147,032640,LG유플러스,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",1,52175.0,11950.0,16083.0,15981.0,15618.0,1.35,1.31,7.55,6.3,7.97,10.88,0,15763.0,1.32
148,043150,바텍,의료용 기기 제조업,"치과용 디지털 X-ray기기 (파노라마, CT) 및 구강스캐너 등",6,3053.0,20550.0,18931.0,20595.0,26502.0,0.92,1.29,12.42,14.49,13.13,46.14,0,41210.0,2.01
149,222980,한국맥널티,기타 식품 제조업,커피 및 의약품,6,640.0,6210.0,3887.0,4795.0,8020.0,0.63,1.29,23.42,-3.84,2.42,4.52,0,-127.0,-0.02
150,000240,한국테크놀로지그룹,기타 금융업,"고무타이어,고무튜브,후랩,알루미늄휠의 제조,판매,임대수익,물품운반용기,포장용기(프라스틱)",6,11628.0,12500.0,31316.0,27945.0,15972.0,2.51,1.28,3.5,4.71,6.75,8.05,0,26842.0,2.15
151,123420,선데이토즈,소프트웨어 개발 및 공급업,모바일게임,6,2632.0,27500.0,20015.0,23349.0,35187.0,0.73,1.28,17.68,2.16,7.51,11.12,0,10552.0,0.38
152,222800,심텍,전자부품 제조업,반도체용 인쇄회로기판,0,4014.0,12600.0,7581.0,9453.0,16102.0,0.6,1.28,24.74,-19.5,2.36,8.2,0,-6218.0,-0.49
153,097520,엠씨넥스,영상 및 음향기기 제조업,휴대폰용자동차용 카메라모듈,2,5949.0,33300.0,19413.0,24458.0,42370.0,0.58,1.27,26.08,47.71,26.19,-1.1,1,52649.0,1.58
154,000270,기아자동차,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",6,129919.0,32050.0,65112.0,59697.0,40471.0,2.03,1.26,4.39,6.5,4.27,3.62,1,48473.0,1.51
155,253840,수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,5,4004.0,29300.0,9708.0,15699.0,36976.0,0.33,1.26,163.02,-48.09,-254.51,-66.48,0,-28124.0,-0.96
156,012330,현대모비스,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",6,182980.0,192500.0,322245.0,304289.0,240528.0,1.67,1.25,5.45,7.28,6.3,5.43,1,290998.0,1.51
157,102710,이엔에프테크놀로지,기타 화학제품 제조업,LCD/반도체용 케미칼,6,5542.0,38950.0,25423.0,30512.0,48581.0,0.65,1.25,20.38,18.9,14.05,15.9,0,40006.0,1.03
158,038500,삼표시멘트,기타 비금속 광물제품 제조업,"시스템통합(SI), 네트워크장비",6,3570.0,3325.0,5515.0,5212.0,4135.0,1.66,1.24,5.48,2.96,-0.69,5.9,0,1685.0,0.51
159,015760,한국전력공사,전기업,"전력자원개발,발전,송전,전력용기자재확보",0,120047.0,18700.0,86650.0,72679.0,23066.0,4.63,1.23,1.72,-3.42,-1.86,1.81,0,-27201.0,-1.45
160,145720,덴티움,의료용 기기 제조업,치과용 기기 제조업,2,4295.0,38800.0,29376.0,33444.0,47891.0,0.76,1.23,15.65,7.37,19.25,26.05,0,37612.0,0.97
161,139480,이마트,종합 소매업,대형마트,6,30385.0,109000.0,282936.0,249882.0,132506.0,2.6,1.22,3.18,2.75,5.49,7.73,0,183288.0,1.68
