,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
37,119610,인터로조,의료용 기기 제조업,"콘텍트렌즈(소프트렌즈, 원데이렌즈, 하드렌즈 등)",6,2621,22450.0,39221.94,44390.0,74.71,97.73,15.7,13.89,13.05,19.97
38,051600,한전KPS,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",6,13365,29700.0,51815.36,59009.79,74.46,98.69,13.76,14.98,17.08,16.04
39,025000,KPX케미칼,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",6,2217,45800.0,78628.23,61987.99,71.68,35.34,7.44,9.04,2.54,6.19
40,255440,야스,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원",6,1763,13500.0,23151.18,0.0,71.49,-100.0,26.55,11.22,29.17,20.84
41,060980,한라홀딩스,기타 금융업,지주회사 및 경영컨설팅 서비스업,6,2885,27550.0,46490.59,51468.04,68.75,86.82,3.62,4.69,1.46,4.64
42,036830,솔브레인홀딩스,기타 화학제품 제조업,"반도체,디스플레이,2차전지 공정용 화학제품",6,16685,95900.0,161743.45,149617.44,68.66,56.01,18.64,15.06,14.53,6.85
43,028150,GS홈쇼핑,텔레비전 방송업,CATV홈쇼핑,6,6989,106500.0,178975.09,202015.33,68.05,89.69,9.41,9.81,12.46,10.1
44,030520,한글과컴퓨터,소프트웨어 개발 및 공급업,오피스소프트웨어,5,3764,15400.0,25664.11,22132.75,66.65,43.72,10.41,8.87,3.39,11.74
45,056190,에스에프에이,특수 목적용 기계 제조업,"반도체, Display 제조설비 및 공장자동화기기",6,12083,33650.0,55822.48,48546.88,65.89,44.27,16.34,15.9,20.22,29.26
46,093050,LF,봉제의복 제조업,"기성복, 의류, 잡화, 제조",6,3523,12050.0,19539.08,25642.68,62.15,112.8,4.35,5.65,7.35,6.87
47,043150,바텍,의료용 기기 제조업,"치과용 디지털 X-ray기기 (파노라마, CT) 및 구강스캐너 등",6,3030,20400.0,32954.78,51285.6,61.54,151.4,12.42,14.49,13.13,46.14
48,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",6,3465,2795.0,4484.04,5460.95,60.43,95.38,16.42,14.28,18.52,27.12
49,111770,영원무역,상품 종합 도매업,스포츠의류,6,10901,24600.0,38855.97,46629.17,57.95,89.55,7.61,9.82,8.15,8.78
50,240810,원익IPS,특수 목적용 기계 제조업,반도체 제조용 기계,6,16615,33850.0,52339.8,40595.25,54.62,19.93,19.47,9.16,25.45,35.83
51,014830,유니드,기초 화학물질 제조업,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",6,3703,41650.0,64151.46,0.0,54.03,-100.0,10.66,9.87,5.52,6.19
52,036190,금화피에스시,전기 및 통신 공사업,"설비,철물,전기,강구조물",6,1464,24400.0,37479.92,0.0,53.61,-100.0,12.11,12.04,19.69,11.76
53,080000,에스엔유,특수 목적용 기계 제조업,"OLED증착장비, OLED봉지장비, LCD검사장비 등",6,1234,3595.0,5501.87,0.0,53.04,-100.0,9.53,6.92,9.68,6.22
54,192080,더블유게임즈,소프트웨어 개발 및 공급업,온라인 게임,5,14203,77300.0,117791.42,84960.44,52.38,9.91,19.69,18.93,19.02,9.04
55,086960,한컴MDS,소프트웨어 개발 및 공급업,"임베디드개발솔루션,임베디드소프트웨어",6,1108,12550.0,19114.9,21248.7,52.31,69.31,8.21,7.38,5.82,8.97
56,005490,포스코,1차 철강 제조업,"열연코일,냉연강판,후판,선재,스테인리스 제조",6,169142,194000.0,294525.23,244785.49,51.82,26.18,2.35,4.18,3.88,6.48
57,034830,한국토지신탁,신탁업 및 집합투자업,부동산신탁 등,6,4406,1745.0,2641.86,3793.43,51.4,117.39,12.54,12.72,21.75,25.66
58,009450,경동나비엔,가정용 기기 제조업,"가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매",5,6472,50800.0,76561.04,56988.53,50.71,12.18,15.13,9.59,9.23,10.73
59,033290,코웰패션,"섬유, 의복, 신발 및 가죽제품 소매업","콘덴서,저항기",6,5106,5770.0,8650.32,7454.73,49.92,29.2,22.73,22.72,26.8,29.71
60,028670,팬오션,해상 운송업,"해상화물운송(외항,운수보관)",6,19138,3580.0,5361.45,5006.47,49.76,39.85,4.99,5.49,6.06,5.8
61,100120,뷰웍스,의료용 기기 제조업,X-Ray Detector,6,3546,35450.0,52612.39,63032.13,48.41,77.81,16.16,16.03,15.56,16.6
62,007310,오뚜기,기타 식품 제조업,"라면,마요네즈,카레,스프,당면,소오스,토마토케첩,마가린,냉동생지(바게트,크로와상),참치캔,식초,3분짜장 제조",6,19901,552000.0,816534.04,988556.15,47.92,79.09,10.31,7.79,13.87,12.34
