,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
788,263860,지니언스,소프트웨어 개발 및 공급업,네트워크 접근 제어 솔루션(NAC),5,525.0,5610.0,Ave ROE,4194.0,4356.0,4928.0,0.75,0.88,0.0,9.43,8.27,13.63,No,0.9,0.0,23.0,24.0,39.0,10,0.0,0.0,249.0,214.0,208.0
789,128660,피제이메탈,1차 비철금속 제조업,"탈산제, 조재제",5,536.0,2165.0,Ave ROE,1617.0,1605.0,1563.0,0.75,0.72,0.0,5.19,7.93,13.77,No,0.72,0.0,44.0,47.0,60.0,10,0.0,0.0,1421.0,1501.0,1350.0
790,171120,라이온켐텍,기타 화학제품 제조업,"합성왁스, 인조대리석",5,1434.0,7710.0,Ave ROE,5790.0,5578.0,4826.0,0.75,0.63,0.0,10.14,1.79,3.53,No,0.64,0.0,115.0,28.0,80.0,10,0.0,0.0,1561.0,1379.0,1314.0
791,031820,콤텍시스템,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템(네트웍) 구축/데이터통신장비(모뎀,먹스),종합네트워크시스템 제조,설치,유지보수",4,1055.0,1655.0,Ave ROE,1248.0,1134.0,730.0,0.75,0.44,0.0,1.22,9.74,1.52,No,0.44,0.0,30.0,32.0,21.0,10,0.0,0.0,2388.0,1252.0,1436.0
792,149980,하이로닉,의료용 기기 제조업,피부미용 의료기기,5,526.0,3910.0,Ave ROE,2913.0,2621.0,1587.0,0.75,0.41,0.0,7.4,-0.67,1.85,No,0.47,0.0,26.0,0.0,17.0,10,0.0,0.0,201.0,203.0,181.0
793,319400,엔에이치스팩14호,금융 지원 서비스업,기타 금융지원(SPAC),5,173.0,2010.0,Ave ROE,1500.0,1169.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
794,321260,유진스팩4호,금융 지원 서비스업,합병,5,70.0,2005.0,Ave ROE,1508.0,1176.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
795,323210,이베스트이안스팩1호,금융 지원 서비스업,기업인수합병,5,64.0,2005.0,Ave ROE,1500.0,1170.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
796,323280,신영스팩5호,금융 지원 서비스업,기업인수 및 합병,5,71.0,2025.0,Ave ROE,1524.0,1188.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,-1.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
797,328380,미래에셋대우스팩3호,금융 지원 서비스업,기업인수합병,5,130.0,2010.0,Ave ROE,1505.0,1173.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
798,332290,대신밸런스제7호스팩,금융 지원 서비스업,기업 인수 및 합병,5,105.0,2030.0,Ave ROE,1532.0,1195.0,0.0,0.75,-0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
799,336060,유안타제5호스팩,금융 지원 서비스업,금융 지원 서비스,5,118.0,1995.0,Ave ROE,1488.0,1160.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
800,340360,유안타제6호스팩,금융 지원 서비스업,금융 지원 서비스업,5,137.0,1995.0,Ave ROE,1504.0,1173.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
801,036670,KCI,기타 화학제품 제조업,"폴리머,레진,계면활성제",5,1144.0,10250.0,Ave ROE,7555.0,8691.0,12714.0,0.74,1.24,0.0,18.92,17.09,8.29,Yes,1.26,0.0,145.0,114.0,51.0,10,0.0,0.0,696.0,606.0,485.0
802,251630,브이원텍,특수 목적용 기계 제조업,LCD/OLED 압흔검사기,5,1336.0,9400.0,Ave ROE,6984.0,7965.0,11436.0,0.74,1.22,0.0,8.37,22.1,25.67,No,1.18,0.0,48.0,157.0,154.0,10,0.0,0.0,268.0,546.0,387.0
