,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,EPS*ROE,Return_Rate,ROE_20,ROE_19,roe_past_2,roe_past_3,영업이익 - 20E,그룹,Est.시가총액(억),Est / 현재 (%)
1886,268600,셀리버리,자연과학 및 공학 연구개발업,바이오의약품[iCP-Parkin(파킨슨병 치료제)]및 연구용 시약,6,8483.0,104000.0,0.0,0.0,0.0,-62.27,-32.33,-95.94,0.0,10,0.0,0.0
1887,269620,시스웍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","클린룸 제어시스템, BLDC모터, 공조장치 제어기 등",6,416.0,2310.0,0.0,0.0,0.0,5.25,14.15,24.38,0.0,10,0.0,0.0
1888,270020,이십일스토어,기타 비금속 광물제품 제조업,"규석, 골재, 석재(조경석)",1,80.0,2580.0,0.0,0.0,0.0,25.46,-5.04,6.03,0.0,10,0.0,0.0
1889,270210,에스알바이오텍,기타 화학제품 제조업,화장품 제조 및 유통,1,67.0,8340.0,0.0,0.0,0.0,-198.17,-118.37,-142.11,0.0,10,0.0,0.0
1890,270520,지엔원에너지,"건축기술, 엔지니어링 및 관련 기술 서비스업",-,6,770.0,2620.0,0.0,0.0,0.0,17.41,13.43,0.0,0.0,10,0.0,0.0
1891,270660,에브리봇,가정용 기기 제조업,물걸레로봇청소기,3,247.0,21950.0,0.0,0.0,0.0,36.4,5.48,75.63,0.0,10,0.0,0.0
1892,271780,비엔에프코퍼레이션,1차 비철금속 제조업,"솔더바, 솔더와이어, 솔더페이스트",5,55.0,1700.0,0.0,0.0,0.0,3.2,3.26,1.9,0.0,10,0.0,0.0
1893,271850,다이오진,자연과학 및 공학 연구개발업,"분자진단서비스, 분자진단Kit",2,97.0,3095.0,0.0,0.0,0.0,-15870.49,34.1,31.95,0.0,10,0.0,0.0
1894,271980,제일약품,의약품 제조업,의약품,4,8235.0,56000.0,0.0,0.0,0.0,-5.96,1.04,0.0,0.0,10,0.0,0.0
1895,272450,진에어,항공 여객 운송업,"여객, 화물 등 항공운송",3,3000.0,10000.0,0.0,0.0,0.0,-24.74,17.86,47.84,0.0,10,0.0,0.0
1896,272550,삼양패키징,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM,4,2600.0,18300.0,0.0,0.0,0.0,10.29,8.38,12.05,0.0,10,0.0,0.0
1897,273060,엔에이치스팩12호,금융 지원 서비스업,기업인수합병,6,158.0,2100.0,0.0,0.0,0.0,1.04,1.02,0.0,0.0,10,0.0,0.0
1898,274090,켄코아에어로스페이스,"항공기,우주선 및 부품 제조업",항공가공품 및 조립품,4,801.0,8890.0,0.0,0.0,0.0,-73.7,-926.72,-10.24,0.0,10,0.0,0.0
1899,275630,에스에스알,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅",5,320.0,5530.0,0.0,0.0,0.0,4.69,7.19,43.0,0.0,10,0.0,0.0
1900,276240,엘리비젼,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등",2,34.0,609.0,0.0,0.0,0.0,-543.95,-71.08,-15.27,0.0,10,0.0,0.0
1901,277070,린드먼아시아,신탁업 및 집합투자업,"투자조합, PEF 결성 및 투자",6,667.0,4940.0,0.0,0.0,0.0,9.73,12.51,15.13,0.0,10,0.0,0.0
1902,277410,인산가,기타 식품 제조업,기업인수합병,4,506.0,1910.0,0.0,0.0,0.0,11.45,-5.09,27.33,0.0,10,0.0,0.0
1903,277480,신한제4호스팩,금융 지원 서비스업,기업 인수 합병,6,122.0,2035.0,0.0,0.0,0.0,1.11,1.0,0.0,0.0,10,0.0,0.0
1904,278380,원바이오젠,의료용품 및 기타 의약 관련제품 제조업,의료기기(창상피복재),3,481.0,20100.0,0.0,0.0,0.0,44.34,5.27,3.92,0.0,20,0.0,0.0
1905,278990,파인이엠텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광ESS,휴대폰 액세서리",4,211.0,5830.0,0.0,0.0,0.0,1.16,-23.39,3.93,0.0,10,0.0,0.0
1906,279060,이노벡스,전자부품 제조업,"TAS(지하철터널내영상광고장치), WING TV(회전식 LED바를 이용한 영상광고장치)",4,88.0,1445.0,0.0,0.0,0.0,4.25,-142.23,0.0,0.0,10,0.0,0.0
1907,279600,미디어젠,소프트웨어 개발 및 공급업,음성인식 소프트웨어 기술개발,6,331.0,7140.0,0.0,0.0,0.0,-4.11,-6.06,-30.43,0.0,10,0.0,0.0
1908,280360,롯데제과,기타 식품 제조업,"껌,캔디,초코,비스켓,빙과",5,7058.0,110000.0,0.0,0.0,0.0,3.19,0.94,0.0,0.0,10,0.0,0.0
1909,281310,바이오시네틱스,자연과학 및 공학 연구개발업,"나노의약품 및 소재, 약물전달시스템(DDS)",6,197.0,7480.0,0.0,0.0,0.0,-32.19,-23.39,-24.15,0.0,10,0.0,0.0
1910,281740,레이크머티리얼즈,기타 화학제품 제조업,"LED, 반도체 소재 및 석유화학촉매",1,1696.0,2580.0,0.0,0.0,0.0,6.49,8.6,43.39,0.0,20,0.0,0.0
1911,281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",6,4603.0,23200.0,0.0,0.0,0.0,13.52,23.54,0.0,0.0,20,0.0,0.0
1912,282690,동아타이어,고무제품 제조업,타이어 및 튜브,6,1456.0,10600.0,0.0,0.0,0.0,7.09,4.88,0.0,0.0,10,0.0,0.0
1913,284420,휴럼,기타 식품 제조업,"건강기능식품, 유산균 관련 제품",5,440.0,12000.0,0.0,0.0,0.0,41.14,-18.5,32.33,0.0,10,0.0,0.0
1914,284610,TS트릴리온,기타 화학제품 제조업,탈모 샴푸 및 헤어케어 제품 등,2,1365.0,3625.0,0.0,0.0,0.0,29.02,34.24,68.69,0.0,10,0.0,0.0
1915,284620,카이노스메드,자연과학 및 공학 연구개발업,기업인수합병,6,4713.0,4550.0,0.0,0.0,0.0,-121.99,-112.15,-89.72,0.0,10,0.0,0.0
1916,285490,노바텍,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재",6,1114.0,22200.0,0.0,0.0,0.0,16.42,29.21,31.73,0.0,10,0.0,0.0
1917,285770,라이프사이언스테크놀로지,소프트웨어 개발 및 공급업,생체신호모듈 및 패치형 체온 측정시스템 등,1,125.0,3900.0,0.0,0.0,0.0,-468.06,-780.07,-150.56,0.0,10,0.0,0.0
1918,286750,나노브릭,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",3,887.0,19450.0,0.0,0.0,0.0,-9.96,76.09,-212.48,0.0,10,0.0,0.0
1919,287410,유안타제3호스팩,금융 지원 서비스업,인수합병,6,86.0,2025.0,0.0,0.0,0.0,0.52,-0.09,0.0,0.0,10,0.0,0.0
1920,288330,브릿지바이오,기초 의약물질 및 생물학적 제제 제조업,"펠리노-1 단백질 저해제, 오토택신 저해제",6,2587.0,40500.0,0.0,0.0,0.0,9.11,0.0,0.0,0.0,10,0.0,0.0
1921,288490,나라소프트,소프트웨어 개발 및 공급업,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)",3,136.0,445.0,0.0,0.0,0.0,-1246.25,41.31,167.66,0.0,10,0.0,0.0
1922,288620,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",4,2398.0,41750.0,0.0,0.0,0.0,4.79,8.22,59.97,0.0,10,0.0,0.0
1923,289010,아이스크림에듀,"서적, 잡지 및 기타 인쇄물 출판업",아이스크림홈런,6,1006.0,7820.0,0.0,0.0,0.0,8.07,25.56,23.23,0.0,10,0.0,0.0
1924,290120,대유에이피,자동차 신품 부품 제조업,자동차 스티어링휠,3,676.0,6210.0,0.0,0.0,0.0,18.13,24.53,30.78,0.0,10,0.0,0.0
1925,290270,휴네시온,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),6,497.0,5170.0,0.0,0.0,0.0,7.8,6.32,45.38,0.0,10,0.0,0.0
1926,290380,대유,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약",6,1503.0,16600.0,0.0,0.0,0.0,7.91,13.43,20.14,0.0,10,0.0,0.0
1927,290550,디케이티,전자부품 제조업,스마트폰용 FPCA,2,1885.0,22900.0,0.0,0.0,0.0,18.32,-7.87,114.7,0.0,10,0.0,0.0
1928,290660,네오펙트,의료용 기기 제조업,라파엘스마트글러브 외,5,616.0,5070.0,0.0,0.0,0.0,-77.93,-174.14,0.0,0.0,20,0.0,0.0
1929,290670,대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기",6,2203.0,33300.0,0.0,0.0,0.0,11.79,18.44,77.71,0.0,10,0.0,0.0
1930,290740,액트로,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,4,1268.0,12600.0,0.0,0.0,0.0,21.0,30.38,43.0,0.0,10,0.0,0.0
1931,291210,한국제7호스팩,금융 지원 서비스업,기업인수합병,6,105.0,2070.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,10,0.0,0.0
1932,291230,삼성스팩2호,금융 지원 서비스업,기업인수합병,6,151.0,2005.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,10,0.0,0.0
1933,293480,하나제약,의약품 제조업,완제의약품,5,3564.0,22000.0,0.0,0.0,0.0,13.3,18.28,35.63,0.0,10,0.0,0.0
1934,293580,나우IB,기타 금융업,"투자조합, PEF 결성 및 투자",6,618.0,6520.0,0.0,0.0,0.0,4.24,3.77,11.46,0.0,10,0.0,0.0
1935,293780,압타바이오,자연과학 및 공학 연구개발업,"용역매출(50.7%), 유전자전달체(32.7%), 압타머 연구용 시약(16.6%)",6,3454.0,31350.0,0.0,0.0,0.0,-13.48,0.0,0.0,0.0,10,0.0,0.0
1936,293940,신한알파리츠,부동산 임대 및 공급업,비거주 부동산 임대 서비스업,1,0.0,6510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
1937,294140,레몬,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등",3,5486.0,15900.0,0.0,0.0,0.0,-41.22,-17.31,0.0,0.0,10,0.0,0.0
1938,294630,서남,기타 전기장비 제조업,고온초전도선재,6,758.0,3720.0,0.0,0.0,0.0,-64.38,-24.06,-430.73,0.0,10,0.0,0.0
1939,297090,씨에스베어링,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링",2,2318.0,24500.0,0.0,0.0,0.0,16.71,9.46,17.8,0.0,10,0.0,0.0
1940,297570,알로이스,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스,5,353.0,2035.0,0.0,0.0,0.0,-34.19,45.78,0.0,0.0,10,0.0,0.0
1941,298060,에스씨엠생명과학,의약품 제조업,세포치료제,5,3296.0,28050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
1942,298380,에이비엘바이오,기초 의약물질 및 생물학적 제제 제조업,항체의약품 연구개발,6,14799.0,32000.0,0.0,0.0,0.0,-25.61,-330.2,0.0,0.0,10,0.0,0.0
1943,298690,에어부산,항공 여객 운송업,항공 여객 및 화물 운송,5,1937.0,3720.0,0.0,0.0,0.0,-56.0,14.79,25.25,0.0,10,0.0,0.0
1944,299170,IBKS제10호스팩,금융 지원 서비스업,기업인수합병,6,90.0,2085.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,10,0.0,0.0
1945,299480,지앤이헬스케어,기타 섬유제품 제조업,면생리대,5,233.0,2100.0,0.0,0.0,0.0,-23.02,16.09,61.86,0.0,10,0.0,0.0
1946,299660,셀리드,자연과학 및 공학 연구개발업,항암면역치료백신,6,3145.0,32600.0,0.0,0.0,0.0,-7.69,-283.29,0.0,0.0,10,0.0,0.0
1947,299670,에스엠비나,봉제의복 제조업,여성의류,6,118.0,2170.0,0.0,0.0,0.0,24.6,31.36,73.72,0.0,10,0.0,0.0
1948,299910,베스파,소프트웨어 개발 및 공급업,모바일게임,5,1086.0,13450.0,0.0,0.0,0.0,-8.99,-232.18,0.0,0.0,10,0.0,0.0
1949,300080,플리토,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",언어 데이터 구축 및 판매,6,732.0,14050.0,0.0,0.0,0.0,-125.49,0.0,0.0,0.0,10,0.0,0.0
1950,300720,한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",6,3519.0,84900.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,10,0.0,0.0
