,Code,Name,Industry,Main_product,시가총액_억,Ratio,영업활동&현금_202006,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
8107,323940,케이비제18호스팩,금융 지원 서비스업,금융지원서비스,156,0.0,0.0,0.0,0.0,0.0
8108,326030,에스케이바이오팜,자연과학 및 공학 연구개발업,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,124518,0.0,0.0,0.0,-1413.0,0.0
8109,326030,에스케이바이오팜,자연과학 및 공학 연구개발업,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,124518,0.0,0.0,0.0,0.0,-983.0
8110,326030,에스케이바이오팜,자연과학 및 공학 연구개발업,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,124518,0.0,0.0,-813.0,0.0,0.0
8111,327260,메탈라이프,전자부품 제조업,"광통신, RF통신용 패키지",637,0.0,1.0,0.0,0.0,0.0
8112,327260,메탈라이프,전자부품 제조업,"광통신, RF통신용 패키지",637,0.0,0.0,0.0,17.0,0.0
8113,327610,펨토바이오메드,자연과학 및 공학 연구개발업,CellShot 플랫폼 / CellShot 기반 항암백신치료 제품군 / CellShot 기반 자가면역질환치료 제품군 / CellShot 기반 바이오의약품 생산세포주 제품군,991,0.0,0.0,-21.0,0.0,0.0
8114,327610,펨토바이오메드,자연과학 및 공학 연구개발업,CellShot 플랫폼 / CellShot 기반 항암백신치료 제품군 / CellShot 기반 자가면역질환치료 제품군 / CellShot 기반 바이오의약품 생산세포주 제품군,991,0.0,0.0,0.0,-11.0,0.0
8115,327610,펨토바이오메드,자연과학 및 공학 연구개발업,CellShot 플랫폼 / CellShot 기반 항암백신치료 제품군 / CellShot 기반 자가면역질환치료 제품군 / CellShot 기반 바이오의약품 생산세포주 제품군,991,0.0,0.0,0.0,0.0,-9.0
8116,327610,펨토바이오메드,자연과학 및 공학 연구개발업,CellShot 플랫폼 / CellShot 기반 항암백신치료 제품군 / CellShot 기반 자가면역질환치료 제품군 / CellShot 기반 바이오의약품 생산세포주 제품군,991,0.0,0.0,0.0,0.0,0.0
