,Code,Name,Industry,Main_product,시가총액_억,Ratio,영업활동&현금_202006,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
7909,298690,에어부산,항공 여객 운송업,항공 여객 및 화물 운송,1796,0.0,0.0,0.0,0.0,664.0
7910,298690,에어부산,항공 여객 운송업,항공 여객 및 화물 운송,1796,0.0,0.0,1125.0,0.0,0.0
7911,299170,IBKS제10호스팩,금융 지원 서비스업,기업인수합병,86,0.0,0.0,0.0,0.0,0.0
7912,299480,지앤이헬스케어,기타 섬유제품 제조업,면생리대,244,0.0,0.0,0.0,-20.0,0.0
7913,299480,지앤이헬스케어,기타 섬유제품 제조업,면생리대,244,0.0,0.0,-7.0,0.0,0.0
7914,299480,지앤이헬스케어,기타 섬유제품 제조업,면생리대,244,0.0,0.0,0.0,0.0,0.0
7915,299480,지앤이헬스케어,기타 섬유제품 제조업,면생리대,244,0.0,0.0,0.0,0.0,34.0
7916,299660,셀리드,자연과학 및 공학 연구개발업,항암면역치료백신,3502,0.0,0.0,0.0,-20.0,0.0
7917,299660,셀리드,자연과학 및 공학 연구개발업,항암면역치료백신,3502,0.0,0.0,-19.0,0.0,0.0
7918,299660,셀리드,자연과학 및 공학 연구개발업,항암면역치료백신,3502,0.0,0.0,0.0,0.0,-14.0
7919,299670,에스엠비나,봉제의복 제조업,여성의류,148,0.0,0.0,0.0,0.0,0.0
7920,299670,에스엠비나,봉제의복 제조업,여성의류,148,0.0,0.0,26.0,0.0,0.0
7921,299670,에스엠비나,봉제의복 제조업,여성의류,148,0.0,0.0,0.0,32.0,0.0
7922,299900,위지윅스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",1305,0.0,0.0,0.0,0.0,-3.0
7923,299900,위지윅스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",1305,0.0,0.0,4.0,0.0,0.0
7924,299900,위지윅스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",1305,0.0,0.0,0.0,42.0,0.0
7925,299910,베스파,소프트웨어 개발 및 공급업,모바일게임,860,0.0,0.0,-124.0,0.0,0.0
7926,299910,베스파,소프트웨어 개발 및 공급업,모바일게임,860,0.0,0.0,0.0,0.0,66.0
7927,299910,베스파,소프트웨어 개발 및 공급업,모바일게임,860,0.0,0.0,0.0,290.0,0.0
7928,300080,플리토,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",언어 데이터 구축 및 판매,677,0.0,0.0,-58.0,0.0,0.0
