,code,year,매출액,영업이익,당기순이익,ROE,EPS
83,010130,2019/12,66948.0,8053.0,6386.0,9.76,33541.0
84,010130,2020/12(E),70443.0,7951.0,5825.0,8.36,30517.0
85,014530,2016/12,2312.0,166.0,140.0,10.34,401.0
86,014530,2017/12,4901.0,136.0,151.0,10.48,433.0
87,014530,2018/12,8309.0,186.0,163.0,10.57,467.0
88,014530,2019/12,7956.0,167.0,142.0,8.75,412.0
89,014530,2020/12(E),0.0,0.0,0.0,0.0,0.0
90,013700,2016/12,1397.0,44.0,33.0,6.72,72.0
91,013700,2017/12,1722.0,101.0,84.0,15.31,187.0
92,013700,2018/12,1163.0,41.0,17.0,2.93,39.0
93,013700,2019/12,2834.0,148.0,135.0,20.68,299.0
94,013700,2020/12(E),0.0,0.0,0.0,0.0,0.0
95,251270,2016/12,15000.0,2947.0,2092.0,15.29,2718.0
96,251270,2017/12,24248.0,5098.0,3609.0,11.17,3900.0
97,251270,2018/12,20213.0,2417.0,2149.0,4.36,2227.0
98,251270,2019/12,21787.0,2027.0,1698.0,3.53,1823.0
99,251270,2020/12(E),25946.0,2712.0,2925.0,5.72,3135.0
100,008060,2016/12,4909.0,288.0,234.0,5.06,479.0
101,008060,2017/12,5121.0,306.0,356.0,7.22,730.0
102,008060,2018/12,5921.0,348.0,2647.0,35.2,5152.0
103,008060,2019/12,10722.0,464.0,646.0,6.38,794.0
104,008060,2020/12(E),0.0,0.0,0.0,0.0,0.0
105,014160,2016/12,2671.0,67.0,107.0,8.15,102.0
106,014160,2017/12,3121.0,-27.0,-30.0,-2.22,-28.0
107,014160,2018/12,3001.0,95.0,106.0,7.88,99.0
108,014160,2019/12,2701.0,134.0,108.0,7.42,100.0
109,014160,2020/12(E),0.0,0.0,0.0,0.0,0.0
110,005880,2016/12,5403.0,441.0,308.0,5.1,1220.0
111,005880,2017/12,15264.0,949.0,1032.0,19.23,4941.0
112,005880,2018/12,12846.0,1350.0,783.0,10.94,3131.0
113,005880,2019/12,10057.0,1288.0,1010.0,11.47,3705.0
114,005880,2020/12(E),9503.0,1422.0,460.0,5.16,1814.0
115,000640,2016/12,7262.0,760.0,1757.0,21.33,28410.0
116,000640,2017/12,6903.0,534.0,325.0,3.64,5310.0
117,000640,2018/12,7075.0,505.0,-1639.0,-19.91,-26714.0
118,000640,2019/12,7697.0,528.0,200.0,2.67,3220.0
119,000640,2020/12(E),8186.0,589.0,563.0,7.52,9123.0
120,000150,2016/12,164703.0,9243.0,504.0,7.91,7384.0
121,000150,2017/12,169134.0,11676.0,459.0,1.67,1594.0
122,000150,2018/12,174493.0,11764.0,-3405.0,-5.21,-4779.0
123,000150,2019/12,185357.0,12619.0,4331.0,23.52,18218.0
124,000150,2020/12(E),177245.0,8270.0,-1775.0,-15.13,-9947.0
125,115390,2016/12,4251.0,602.0,470.0,7.16,854.0
126,115390,2017/12,4174.0,516.0,349.0,5.33,635.0
127,115390,2018/12,4343.0,365.0,304.0,4.68,554.0
128,115390,2019/12,4860.0,243.0,164.0,2.44,302.0
129,115390,2020/12(E),0.0,0.0,0.0,0.0,0.0
130,027740,2016/12,2298.0,-35.0,11.0,1.02,9.0
131,027740,2017/12,2546.0,69.0,-103.0,-12.5,-93.0
132,027740,2018/12,2691.0,5.0,-112.0,-11.63,-73.0
133,027740,2019/12,2417.0,-150.0,-175.0,-18.14,-109.0
134,027740,2020/12(E),0.0,0.0,0.0,0.0,0.0
135,204320,2016/12,58664.0,3050.0,2101.0,14.32,4249.0
136,204320,2017/12,56847.0,835.0,183.0,0.34,102.0
137,204320,2018/12,56648.0,1974.0,1129.0,7.64,2250.0
138,204320,2019/12,59819.0,2186.0,1182.0,7.55,2354.0
139,204320,2020/12(E),54054.0,566.0,-179.0,-1.41,-446.0
140,008560,2016/12,,3269.0,2538.0,14.11,511.0
141,008560,2017/12,,4436.0,3552.0,13.79,559.0
142,008560,2018/12,,5323.0,4338.0,13.0,602.0
143,008560,2019/12,,6799.0,5546.0,15.06,789.0
144,008560,2020/12(E),,6575.0,4744.0,10.98,638.0
145,204210,2016/12,47.0,23.0,9.0,2.46,138.0
146,204210,2017/12,42.0,18.0,6.0,1.43,77.0
147,204210,2018/12,48.0,23.0,9.0,2.16,116.0
148,204210,2019/12,76.0,47.0,27.0,6.36,348.0
149,204210,2020/12(E),0.0,0.0,0.0,0.0,0.0
150,001270,2016/12,,353.0,278.0,6.31,2077.0
151,001270,2017/12,,473.0,376.0,8.0,2797.0
152,001270,2018/12,,373.0,282.0,6.18,2170.0
153,001270,2019/12,,360.0,274.0,5.8,2055.0
154,001270,2020/12(E),,0.0,0.0,0.0,0.0
155,006400,2016/12,52008.0,-9263.0,2111.0,2.02,3117.0
156,006400,2017/12,63466.0,1169.0,6432.0,5.98,9338.0
157,006400,2018/12,91583.0,7150.0,7450.0,6.05,9962.0
158,006400,2019/12,100974.0,4622.0,4024.0,2.94,5066.0
159,006400,2020/12(E),112861.0,6486.0,5408.0,3.93,7011.0
160,207940,2016/12,2946.0,-304.0,-1768.0,-5.16,-3115.0
161,207940,2017/12,4646.0,660.0,-970.0,-2.41,-1466.0
162,207940,2018/12,5358.0,557.0,2241.0,5.51,3387.0
163,207940,2019/12,7016.0,917.0,2029.0,4.77,3067.0
164,207940,2020/12(E),10361.0,2825.0,2459.0,5.75,3716.0
165,068290,2016/12,1633.0,122.0,99.0,6.81,560.0
166,068290,2017/12,1766.0,110.0,59.0,3.92,338.0
